millis,type,message
998393534,INFO,Completed analysis m: 5062 t: 1 e: 6
998393556,INFO,Enabling MessageSender transmissions
998443206,INFO,Starting analysis m: 5062 t: 1 e: 7
998443481,WARN,Disabling MessageSender transmissions
998444603,INFO,Completed analysis m: 5062 t: 1 e: 7
998444630,INFO,Enabling MessageSender transmissions
998476105,INFO,powerData | solV: 5.55
998476128,INFO,powerData | solI: 0.00
998476146,INFO,powerData | battV: 4.06
998476167,INFO,powerData | battI: -0.06
998476185,INFO,powerData | busV: 4.06
998476206,INFO,powerData | busI: 0.05
998476226,INFO,powerData | BQ status reg: 0
998476244,INFO,powerData | Fault reg: 16
998476265,INFO,powerData | Charge status: 0
998476285,INFO,powerData | DPM status: 0
998494265,INFO,Starting analysis m: 5062 t: 1 e: 8
998494537,WARN,Disabling MessageSender transmissions
998495664,INFO,Completed analysis m: 5062 t: 1 e: 8
998495686,INFO,Enabling MessageSender transmissions
998545344,INFO,Starting analysis m: 5062 t: 1 e: 9
998545625,WARN,Disabling MessageSender transmissions
998546739,INFO,Completed analysis m: 5062 t: 1 e: 9
998546761,INFO,Enabling MessageSender transmissions
998596399,INFO,Starting analysis m: 5062 t: 1 e: 10
998596673,WARN,Disabling MessageSender transmissions
998597814,INFO,Completed analysis m: 5062 t: 1 e: 10
998597836,INFO,Enabling MessageSender transmissions
998647455,INFO,Starting analysis m: 5062 t: 1 e: 11
998647732,WARN,Disabling MessageSender transmissions
998648850,INFO,Completed analysis m: 5062 t: 1 e: 11
998648875,INFO,Enabling MessageSender transmissions
998698528,INFO,Starting analysis m: 5062 t: 1 e: 12
998698807,WARN,Disabling MessageSender transmissions
998699923,INFO,Completed analysis m: 5062 t: 1 e: 12
998699945,INFO,Enabling MessageSender transmissions
998749591,INFO,Starting analysis m: 5062 t: 1 e: 13
998749865,WARN,Disabling MessageSender transmissions
998750988,INFO,Completed analysis m: 5062 t: 1 e: 13
998751010,INFO,Enabling MessageSender transmissions
998776107,INFO,powerData | solV: 5.53
998776129,INFO,powerData | solI: 0.03
998776147,INFO,powerData | battV: 4.07
998776168,INFO,powerData | battI: -0.03
998776186,INFO,powerData | busV: 4.06
998776205,INFO,powerData | busI: 0.04
998776225,INFO,powerData | BQ status reg: 172
998776250,INFO,powerData | Fault reg: 0
998776268,INFO,powerData | Charge status: 2
998776289,INFO,powerData | DPM status: 1
998800664,INFO,Starting analysis m: 5062 t: 1 e: 14
998800939,WARN,Disabling MessageSender transmissions
998802104,INFO,Completed analysis m: 5062 t: 1 e: 14
998802126,INFO,Enabling MessageSender transmissions
998851717,INFO,Starting analysis m: 5062 t: 1 e: 15
998851997,WARN,Disabling MessageSender transmissions
998853109,INFO,Completed analysis m: 5062 t: 1 e: 15
998853138,INFO,Enabling MessageSender transmissions
998902790,INFO,Starting analysis m: 5062 t: 1 e: 16
998903066,WARN,Disabling MessageSender transmissions
998904186,INFO,Completed analysis m: 5062 t: 1 e: 16
998904211,INFO,Enabling MessageSender transmissions
998953854,INFO,Starting analysis m: 5062 t: 1 e: 17
998954127,WARN,Disabling MessageSender transmissions
998955257,INFO,Completed analysis m: 5062 t: 1 e: 17
998955282,INFO,Enabling MessageSender transmissions
999004917,INFO,Starting analysis m: 5062 t: 1 e: 18
999005202,WARN,Disabling MessageSender transmissions
999006320,INFO,Completed analysis m: 5062 t: 1 e: 18
999006345,INFO,Enabling MessageSender transmissions
999055984,INFO,Starting analysis m: 5062 t: 1 e: 19
999056257,WARN,Disabling MessageSender transmissions
999057381,INFO,Completed analysis m: 5062 t: 1 e: 19
999057403,INFO,Enabling MessageSender transmissions
999076108,INFO,powerData | solV: 5.54
999076130,INFO,powerData | solI: 0.10
999076151,INFO,powerData | battV: 4.08
999076175,INFO,powerData | battI: 0.06
999076196,INFO,powerData | busV: 4.09
999076216,INFO,powerData | busI: 0.04
999076237,INFO,powerData | BQ status reg: 172
999076257,INFO,powerData | Fault reg: 0
999076278,INFO,powerData | Charge status: 2
999076298,INFO,powerData | DPM status: 1
999107053,INFO,Starting analysis m: 5062 t: 1 e: 20
999107328,WARN,Disabling MessageSender transmissions
999108452,INFO,Completed analysis m: 5062 t: 1 e: 20
999108476,INFO,Enabling MessageSender transmissions
999158112,INFO,Starting analysis m: 5062 t: 1 e: 21
