GPS_Epoch_Time(s),lat(deg),lat(min*1e5),long(deg),long(min*1e5)
1610734514.00,37,5671369,-122,-4704246
1610734574.40,37,5671290,-122,-4704283
1610734634.80,37,5671337,-122,-4704300
1610734695.20,37,5671354,-122,-4704266
1610734755.60,37,5671343,-122,-4704289
1610734816.00,37,5671337,-122,-4704305
1610734876.40,37,5671372,-122,-4704325
1610734936.80,37,5671374,-122,-4704250
1610734997.20,37,5671400,-122,-4704289
1610735057.60,37,5671354,-122,-4704273
1610735118.00,37,5671410,-122,-4704275
1610735178.40,37,5671445,-122,-4704313
1610735238.80,37,5671376,-122,-4704332
1610735299.20,37,5671371,-122,-4704307
1610735359.60,37,5671267,-122,-4704351
1610735420.00,37,5671403,-122,-4704340
1610735480.40,37,5671360,-122,-4704340
1610735540.80,37,5671382,-122,-4704331
1610735601.20,37,5671368,-122,-4704235
1610735661.60,37,5671326,-122,-4704319
1610735722.00,37,5671295,-122,-4704322
1610735782.40,37,5671297,-122,-4704278
1610735842.80,37,5671309,-122,-4704304
1610735903.20,37,5671269,-122,-4704302
1610735963.60,37,5671340,-122,-4704288
1610736024.00,37,5671276,-122,-4704365
1610736084.40,37,5671218,-122,-4704299
1610736144.40,37,5671092,-122,-4704276
1610736204.80,37,5671066,-122,-4704245
1610736265.20,37,5671055,-122,-4704324
1610736325.60,37,5671009,-122,-4704287
1610736386.00,37,5670937,-122,-4704210
1610736446.40,37,5670891,-122,-4704311
1610736506.80,37,5670857,-122,-4704343
1610736567.20,37,5670860,-122,-4704316
1610736627.60,37,5670751,-122,-4704265
1610736688.00,37,5670702,-122,-4704268
1610736748.40,37,5670669,-122,-4704254
1610736808.80,37,5670640,-122,-4704302
1610736868.80,37,5670573,-122,-4704236
1610736929.60,37,5670580,-122,-4704298
1610736990.00,37,5670514,-122,-4704202
1610737050.40,37,5670496,-122,-4704288
1610737110.80,37,5670497,-122,-4704242
1610737171.20,37,5670509,-122,-4704219
1610737231.60,37,5670484,-122,-4704244
1610737292.00,37,5670521,-122,-4704250
1610737352.40,37,5670519,-122,-4704271
1610737412.80,37,5670535,-122,-4704320
1610737473.20,37,5670529,-122,-4704244
1610737533.60,37,5670584,-122,-4704266
1610737594.00,37,5670559,-122,-4704271
1610737654.40,37,5670578,-122,-4704304
1610737714.80,37,5670601,-122,-4704295
1610737775.20,37,5670590,-122,-4704224
1610737835.60,37,5670571,-122,-4704240
1610737896.00,37,5670583,-122,-4704211
1610737956.40,37,5670625,-122,-4704256
1610738016.80,37,5670632,-122,-4704162
1610738077.20,37,5670599,-122,-4704267
1610738137.60,37,5670620,-122,-4704262
1610738198.00,37,5670522,-122,-4704417
1610738258.40,37,5670466,-122,-4704683
1610738318.80,37,5670379,-122,-4704696
1610738379.20,37,5670403,-122,-4704742
1610738439.60,37,5670423,-122,-4704711
1610738500.00,37,5670387,-122,-4704602
1610738560.40,37,5670373,-122,-4704455
1610738620.80,37,5670515,-122,-4704349
1610738681.20,37,5670411,-122,-4704346
1610738741.60,37,5670554,-122,-4704224
1610738802.00,37,5670566,-122,-4704286
1610738862.40,37,5670552,-122,-4704350
1610738922.80,37,5670484,-122,-4704475
1610738983.20,37,5670454,-122,-4704614
1610739043.60,37,5670494,-122,-4704701
1610739104.00,37,5670498,-122,-4704586
1610739164.40,37,5670523,-122,-4704620
1610739224.80,37,5670613,-122,-4704490
1610739285.20,37,5670679,-122,-4704254
1610739345.60,37,5670762,-122,-4704264
1610739406.00,37,5670749,-122,-4704147
1610739466.40,37,5670758,-122,-4704135
1610739526.80,37,5670882,-122,-4704175
1610739587.20,37,5670868,-122,-4704139
1610739647.60,37,5670797,-122,-4704163
1610739708.00,37,5670851,-122,-4704148
1610739768.40,37,5670944,-122,-4704095
1610739828.80,37,5670934,-122,-4704048
1610739889.20,37,5670941,-122,-4704164
1610739949.20,37,5670947,-122,-4704168
1610740010.00,37,5671029,-122,-4704208
1610740070.40,37,5671052,-122,-4704098
1610740130.80,37,5671169,-122,-4704140
1610740191.20,37,5671142,-122,-4704195
1610740251.60,37,5671091,-122,-4704047
1610740312.00,37,5671180,-122,-4704148
1610740372.40,37,5671177,-122,-4704089
1610740432.80,37,5671199,-122,-4704116
1610740493.20,37,5671161,-122,-4704085
1610740553.60,37,5671100,-122,-4704136
1610740614.00,37,5671113,-122,-4704064
1610740673.60,37,5671027,-122,-4704011
1610740734.40,37,5670937,-122,-4704058
1610740794.80,37,5670872,-122,-4704055
1610740855.20,37,5670827,-122,-4704086
1610740915.60,37,5670831,-122,-4704213
1610740976.00,37,5670814,-122,-4704066
1610741036.40,37,5670806,-122,-4704225
1610741096.80,37,5670735,-122,-4704307
1610741157.20,37,5670707,-122,-4704417
1610741217.60,37,5670638,-122,-4704536
1610741278.00,37,5670505,-122,-4704682
1610741338.40,37,5670475,-122,-4704703
1610741398.80,37,5670413,-122,-4704666
1610741459.20,37,5670446,-122,-4704676
1610741519.60,37,5670349,-122,-4704602
1610741580.00,37,5670348,-122,-4704698
1610741640.40,37,5670342,-122,-4704677
1610741700.80,37,5670360,-122,-4704769
1610741761.20,37,5670375,-122,-4704646
1610741821.60,37,5670355,-122,-4704625
1610741882.00,37,5670354,-122,-4704639
1610741942.40,37,5670370,-122,-4704601
1610742002.80,37,5670412,-122,-4704771
1610742063.20,37,5670444,-122,-4704725
1610742123.60,37,5670450,-122,-4704821
1610742184.00,37,5670396,-122,-4704966
1610742244.40,37,5670425,-122,-4704951
1610742304.80,37,5670465,-122,-4704943
1610742365.20,37,5670412,-122,-4704824
1610742425.60,37,5670425,-122,-4704693
1610742486.00,37,5670463,-122,-4704711
1610742546.40,37,5670437,-122,-4704695
1610742606.80,37,5670509,-122,-4704597
1610742667.20,37,5670513,-122,-4704728
1610742727.60,37,5670514,-122,-4704889
1610742788.00,37,5670439,-122,-4705132
1610742848.40,37,5670342,-122,-4705218
1610742908.80,37,5670313,-122,-4705309
1610742969.20,37,5670300,-122,-4705222
1610743029.60,37,5670294,-122,-4705137
1610743090.00,37,5670259,-122,-4705085
1610743150.40,37,5670315,-122,-4705065
1610743210.80,37,5670339,-122,-4705038
1610743271.20,37,5670329,-122,-4705149
1610743331.60,37,5670288,-122,-4705241
1610743392.00,37,5670321,-122,-4705217
1610743452.40,37,5670258,-122,-4705202
1610743512.80,37,5670310,-122,-4705289
1610743573.20,37,5670286,-122,-4705327
1610743633.60,37,5670292,-122,-4705444
1610743694.00,37,5670296,-122,-4705380
1610743753.60,37,5670213,-122,-4705259
1610743814.40,37,5670257,-122,-4705067
1610743874.80,37,5670220,-122,-4705069
